,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,Sponsor party
67,S2717,https://www.nysenate.gov/legislation/bills/2009/s2717/amendment/original,"Requires OTB corporations to submit copy of annual budget to racing and wagering board, and, upon finding of reasonable basis, conduct business and managerial audit"," August 30, 2010","Racing, Pari-Mutuel Wagering and Breeding Law",ADAMS,
68,S7556,https://www.nysenate.gov/legislation/bills/2009/s7556/amendment/original,Clarifies the application of the tax credit for rehabilitation of historic properties and historic homes and makes permanent certain provisions of the tax law regarding the credit," August 30, 2010",Tax Law,VALESKY,
69,S8175,https://www.nysenate.gov/legislation/bills/2009/s8175/amendment/original,Relates to larceny of religious property," August 30, 2010",Penal Law,KLEIN,
70,A2876,https://www.nysenate.gov/legislation/bills/2009/a2876/amendment/original,Grants the court of claims jurisdiction to hear and determine claims against the state for retaliatory personnel actions," August 13, 2010",Court of Claims Act,WEINSTEIN,
71,S7897,https://www.nysenate.gov/legislation/bills/2009/s7897/amendment/original,Relates to vehicles passing bicycles," August 13, 2010",Vehicle and Traffic Law,STEWART-COUSINS,
72,S8114,https://www.nysenate.gov/legislation/bills/2009/s8114/amendment/original,Relates to an application for exemption from real property taxes by the House of Refuge Apostolic Church," August 13, 2010",Real Property Taxation,OPPENHEIMER,
73,A3397,https://www.nysenate.gov/legislation/bills/2009/a3397/amendment/original,Requires model zoning and planning guidelines that foster age-integrated communities to provide for mixed-use development for senior residential housing," August 13, 2010",Elder Law,ENGLEBRIGHT,
74,A3762,https://www.nysenate.gov/legislation/bills/2009/a3762/amendment/original,Relates to the transportation and possession of a slot machine under certain circumstances," August 13, 2010",Penal Law,ZEBROWSKI,
75,A4916,https://www.nysenate.gov/legislation/bills/2009/a4916/amendment/original,Establishes that insurers providing rental vehicle reimbursement coverage shall not require an insured to utilize a particular rental vehicle company," August 13, 2010",Insurance Law,PHEFFER,
76,A5823,https://www.nysenate.gov/legislation/bills/2009/a5823/amendment/original,Requires commercial pesticide applicators to provide notice to residents of multiple family dwellings prior to the application of pesticide on such premises," August 13, 2010",Environmental Conservation Law,LATIMER,
77,A7617,https://www.nysenate.gov/legislation/bills/2009/a7617/amendment/original,Relates to a patient's right to palliative care information," August 13, 2010",Public Health Law,GOTTFRIED,
78,A7923,https://www.nysenate.gov/legislation/bills/2009/a7923/amendment/original,Relates to requiring at least one employee at a child day care facility or family day care home to be trained and certified in cardiopulmonary resuscitation and first aid," August 13, 2010",Social Services Law,SCARBOROUGH,
79,A8220,https://www.nysenate.gov/legislation/bills/2009/a8220/amendment/original,Relates to the board of trustees of the higher education services corporation," August 13, 2010",Education Law,GLICK,
80,A8504,https://www.nysenate.gov/legislation/bills/2009/a8504/amendment/original,Relates to trial discharges of youth in foster care and voluntary re-placements of older adolescents in foster care," August 13, 2010",Family Court Act,SCARBOROUGH,
81,A8524,https://www.nysenate.gov/legislation/bills/2009/a8524/amendment/original,"Authorizes the family court, in certain situations, to restore a birth parent's parental rights after they have been terminated"," August 13, 2010",Family Court Act,SCARBOROUGH,
82,A9746,https://www.nysenate.gov/legislation/bills/2009/a9746/amendment/original,Authorizes the Community Outreach Center to file an application for a real property tax exemption," August 13, 2010",Real Property Taxation,JAFFEE,
83,A9838,https://www.nysenate.gov/legislation/bills/2009/a9838/amendment/original,Relates to eligibility under the naturally occurring retirement community supportive service program," August 13, 2010",Elder Law,DINOWITZ,
84,A9944,https://www.nysenate.gov/legislation/bills/2009/a9944/amendment/original,Makes technical corrections to provisions of law relating to rates of payment for residential health care facilities," August 13, 2010",Public Health Law,MCENENY,
85,A9979,https://www.nysenate.gov/legislation/bills/2009/a9979/amendment/original,"Authorizes the Greater Utica Community Food Resources, Inc. to file an application for a real property tax exemption"," August 13, 2010",Real Property Taxation,DESTITO,
86,A10164,https://www.nysenate.gov/legislation/bills/2009/a10164/amendment/original,Makes the mayor the administrative head and executive secretary of the Schenectady urban renewal agency," August 13, 2010",General Municipal Law,AMEDORE,
87,A10213,https://www.nysenate.gov/legislation/bills/2009/a10213/amendment/original,Extends the period of time the Brookville library funding district may be established," August 13, 2010",Nassau County,MONTESANO,
88,A10226,https://www.nysenate.gov/legislation/bills/2009/a10226/amendment/original,Requires the required notice of foreclosure to tenants to include a notice of the rights of rent-regulated tenants," August 13, 2010",Real Property Actions and Proceedings Law,ROSENTHAL,
89,A10741,https://www.nysenate.gov/legislation/bills/2009/a10741/amendment/original,Increases the composition of the September 11th worker protection task force and extends the expiration of such chapter," August 13, 2010",September Eleventh Terrorist Attacks,ABBATE,
90,A10779,https://www.nysenate.gov/legislation/bills/2009/a10779/amendment/original,Allows county of Putnam to retroactively apply for a tax exemption on property in the town of Carmel," August 13, 2010",Real Property Taxation,GALEF,
91,A10939,https://www.nysenate.gov/legislation/bills/2009/a10939/amendment/original,Repeals title 37 of article 15-B of the general municipal law relating to the establishment of the Port Chester community development agency," August 13, 2010",General Municipal Law,LATIMER,
92,A10982,https://www.nysenate.gov/legislation/bills/2009/a10982/amendment/original,Repeals title 20 of article 7 of the public authorities law relating to the creation of the Port Chester parking authority," August 13, 2010",Public Authorities Law,LATIMER,
93,A11097,https://www.nysenate.gov/legislation/bills/2009/a11097/amendment/original,Relates to extending provisions of law relating to the underground facilities safety training account," August 13, 2010",State Finance,GORDON,
94,A11289,https://www.nysenate.gov/legislation/bills/2009/a11289/amendment/original,"Extends the effectiveness of the home based primary care for the elderly demonstration project through January 1, 2016"," August 13, 2010",Public Health Law,MORELLE,
95,A11343,https://www.nysenate.gov/legislation/bills/2009/a11343/amendment/original,Extends the provisions of chapter 545 of the laws of 2003 relating to the assisted living program," August 13, 2010",Social Services Law,PARMENT,
96,A11351,https://www.nysenate.gov/legislation/bills/2009/a11351/amendment/original,"Relates to providing for the construction of capital facilities for Broad Channel Volunteers, Inc."," August 13, 2010",Public Authorities Law,PHEFFER,
97,A11364,https://www.nysenate.gov/legislation/bills/2009/a11364/amendment/original,"Amends chapter 183 of the laws of 2003, authorizing Westchester County to lease certain parklands, to make technical changes"," August 13, 2010",Westchester County,LATIMER,
98,A11391,https://www.nysenate.gov/legislation/bills/2009/a11391/amendment/original,Expands eligibility for the shock incarceration program," August 13, 2010",Correction Law,AUBRY,
99,A11566,https://www.nysenate.gov/legislation/bills/2009/a11566/amendment/original,Relates to paperwork reduction," August 13, 2010",Education Law,NOLAN,
100,A11568,https://www.nysenate.gov/legislation/bills/2009/a11568/amendment/original,Relates to fraud enforcement," August 13, 2010",State Finance Law,SILVER,
101,A11612,https://www.nysenate.gov/legislation/bills/2009/a11612/amendment/original,Relates to rape crisis centers for services to rape victims and programs to prevent rape," August 13, 2010",Budget Bills,,
102,S5110,https://www.nysenate.gov/legislation/bills/2009/s5110/amendment/original,Authorizes municipal reciprocal insurers to offer full faith and credit surety bonds for public officers," August 13, 2010",Insurance Law,BRESLIN,
103,S5746,https://www.nysenate.gov/legislation/bills/2009/s5746/amendment/original,"Validates, ratifies, and confirms expenditures made by the William Floyd union free school district"," August 13, 2010",Education,FOLEY,
104,S5868,https://www.nysenate.gov/legislation/bills/2009/s5868/amendment/original,Authorizes taxing authorities in a certain county to grant a real property tax exemption to volunteer firefighters and volunteer ambulance workers," August 13, 2010",Real Property Tax Law,LITTLE,
105,S6455,https://www.nysenate.gov/legislation/bills/2009/s6455/amendment/original,Extends provisions of chapter 105 of the laws of 2009 enabling the county of Albany to impose and collect taxes on occupancy of hotel or motel rooms in Albany county," August 13, 2010",Albany County,BRESLIN,
106,S6766,https://www.nysenate.gov/legislation/bills/2009/s6766/amendment/original,Authorizes the city of Schenectady to accept an application for real property tax exemption from the Tabernacle of New Hope," August 13, 2010",Real Property Taxation,FARLEY,
107,S6948,https://www.nysenate.gov/legislation/bills/2009/s6948/amendment/original,Enacts provisions relating to reciprocal insurers having a corporate attorney-in-fact wholly owned by subscribers at the reciprocal insurers," August 13, 2010",Insurance Law,BRESLIN,
108,S7420,https://www.nysenate.gov/legislation/bills/2009/s7420/amendment/original,Increases the bond and note authorization of the New York state housing finance agency," August 13, 2010",Private Housing Finance Law,ESPADA,
109,S7864,https://www.nysenate.gov/legislation/bills/2009/s7864/amendment/original,Relates to significant programmatic accomplishments for limited credit time allowances for inmates," August 13, 2010",Correction Law,HASSELL-THOMPSON,
110,S8391,https://www.nysenate.gov/legislation/bills/2009/s8391/amendment/original,"Chapter amends S. 4532-A and A. 7569-A, relating to counsel and expert fees in matrimonial actions, to change the effective date to 60 days after enactment"," August 13, 2010",Domestic Relations,SAMPSON,
111,A7670,https://www.nysenate.gov/legislation/bills/2009/a7670/amendment/original,Relates to motions to vacate judgment against victims of sex trafficking for certain prostitution offenses," August 13, 2010",Criminal Procedure Law,GOTTFRIED,
112,A10869,https://www.nysenate.gov/legislation/bills/2009/a10869/amendment/original,Relates to making real property tax receipts available online," August 13, 2010",Real Property Tax Law,GALEF,
113,A619,https://www.nysenate.gov/legislation/bills/2009/a619/amendment/original,Relates to uninterrupted payment of disability benefits," August 13, 2010",Workers' Compensation Law,KAVANAGH,
114,A10875,https://www.nysenate.gov/legislation/bills/2009/a10875/amendment/original,"Extends from January 1, 2011 until January 1, 2015, the expiration of provisions of law relating to tax exemptions for solar, wind, or farm waste energy systems"," August 13, 2010",Real Property Tax Law,MAGEE,
115,A8851,https://www.nysenate.gov/legislation/bills/2009/a8851/amendment/original,Authorizes participation in the Seymour public library district by that portion of the town of Fleming located within the boundaries of the Auburn enlarged city school district," August 4, 2010",Public Libraries,FINCH,
116,A11523,https://www.nysenate.gov/legislation/bills/2009/a11523/amendment/original,Extends the expiration of the power for jobs program and the energy cost savings benefits program," August 4, 2010",Economic Development Law,CAHILL,
117,A11678,https://www.nysenate.gov/legislation/bills/2009/a11678/amendment/original,Enacts legislation necessary to implement the state fiscal plan for the 2010-2011 state fiscal year," August 4, 2010",Budget Bills,,
118,A629,https://www.nysenate.gov/legislation/bills/2009/a629/amendment/original,Relates to the sale of motor fuels to disabled persons," July 30, 2010",General Business Law,PAULIN,
119,A8181,https://www.nysenate.gov/legislation/bills/2009/a8181/amendment/original,Relates to the powers and duties of the racing and wagering board to impose certain fines," July 30, 2010","Racing, Pari-Mutuel Wagering and Breeding Law",DELMONTE,
120,S2622,https://www.nysenate.gov/legislation/bills/2009/s2622/amendment/original,Provides that traps shall bear the name and residence address or the assigned identification number of the trapper," July 30, 2010",Environmental Conservation Law,VALESKY,
121,S5873,https://www.nysenate.gov/legislation/bills/2009/s5873/amendment/original,"Authorizes the town of Malta, county of Saratoga to discontinue the use of certain lands as parklands and to sell and convey such lands, which are no longer needed"," July 30, 2010",Parks,MCDONALD,
122,S7225,https://www.nysenate.gov/legislation/bills/2009/s7225/amendment/original,Increases the bonding authority of the NYC housing development corporation," July 30, 2010",Private Housing Finance Law,ESPADA,
123,S7257,https://www.nysenate.gov/legislation/bills/2009/s7257/amendment/original,Includes payments from the state's farmland protection program as federal gross income," July 30, 2010",Tax Law,VALESKY,
124,S7314,https://www.nysenate.gov/legislation/bills/2009/s7314/amendment/original,Relates to the definition of cash for ABC purposes," July 30, 2010",Alcoholic Beverage Control Law,JOHNSON C,
125,S7845,https://www.nysenate.gov/legislation/bills/2009/s7845/amendment/original,Relates to insurance losses as a result of the insured being intoxicated or under the influence of narcotics," July 30, 2010",Insurance Law,BRESLIN,
126,S8095,https://www.nysenate.gov/legislation/bills/2009/s8095/amendment/original,"Relates to the Rome urban renewal agency; and to transfer any books, records and remaining rights of the dissolved agency to the city of Rome; repealer"," July 30, 2010",General Municipal Law,VALESKY,
127,A8182,https://www.nysenate.gov/legislation/bills/2009/a8182/amendment/original,Relates to the imposition of fines," July 30, 2010","Racing, Pari-Mutuel Wagering and Breeding Law",SPANO,
128,A9748,https://www.nysenate.gov/legislation/bills/2009/a9748/amendment/original,"Authorizes the town of Ramapo to accept an application for real property tax exemption from the Pilgrim Wesleyan Church in the village of Spring Valley, town of Ramapo"," July 30, 2010",Real Property Taxation,JAFFEE,
129,A9750,https://www.nysenate.gov/legislation/bills/2009/a9750/amendment/original,Extends the effectiveness of chapter 846 of the laws of 1970 relating to payments in lieu of taxes for property acquired for park or recreational purposes," July 30, 2010",Parks,WEISENBERG,
130,A9826,https://www.nysenate.gov/legislation/bills/2009/a9826/amendment/original,Authorizes the Montgomery county correctional facility to also be used for the detention of persons under arrest being held for arraignment in any court located in Montgomery county," July 30, 2010",Correction Law,AMEDORE,
131,A9959,https://www.nysenate.gov/legislation/bills/2009/a9959/amendment/original,Relates to the provision of physical therapy assistant services in elementary and secondary schools," July 30, 2010",Education,CANESTRARI,
132,A10061,https://www.nysenate.gov/legislation/bills/2009/a10061/amendment/original,Relates to inmate labor for non-profit organizations," July 30, 2010",Correction Law,AUBRY,
133,A10126,https://www.nysenate.gov/legislation/bills/2009/a10126/amendment/original,"Extends the provisions of chapter 831 of the laws of 1981, amending the labor law relating to fees and expenses in unemployment insurance proceedings"," July 30, 2010",Labor Law,LATIMER,
134,A10137,https://www.nysenate.gov/legislation/bills/2009/a10137/amendment/original,Extends the provisions of chapter 534 of the laws of 1993 relating to physical therapy assistants for an additional four years," July 30, 2010",Education,CANESTRARI,
135,A10233,https://www.nysenate.gov/legislation/bills/2009/a10233/amendment/original,Authorizes the detaining in the Chautauqua county correctional facility of persons awaiting arraignment in any local court in the county of Chautauqua," July 30, 2010",Correction Law,PARMENT,
136,A10410,https://www.nysenate.gov/legislation/bills/2009/a10410/amendment/original,Authorizes the facsimile transmission or transmission by electronic means of orders of protection and temporary orders of protection," July 30, 2010",Family Court Act,ROSENTHAL,
