,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,Sponsor party
2309,A8373B,https://www.nysenate.gov/legislation/bills/2015/A8373,Designates Little Wolf and Simon as inland waterways," July 21, 2016",Executive Law,DUPREY,
2310,A2981B,https://www.nysenate.gov/legislation/bills/2015/A2981,Relates to food service in funeral establishments," July 21, 2016",Public Health Law,GOTTFRIED,
2311,A10553,https://www.nysenate.gov/legislation/bills/2015/A10553,Relates to the definition of small business," July 21, 2016",State Finance Law,BLAKE,
2312,S7999,https://www.nysenate.gov/legislation/bills/2015/S7999,Alienates certain parklands in the village of Kings Point in the town of North Hempstead in the county of Nassau," July 21, 2016",Villages,MARTINS,
2313,A10623,https://www.nysenate.gov/legislation/bills/2015/A10623,Permits the Islamic Center of Long Island to file an application for certain real property tax exemptions," July 21, 2016",Nassau County,LAVINE,
2314,A10633,https://www.nysenate.gov/legislation/bills/2015/A10633,Relates to notice of unpaid taxes in the county of Monroe," July 21, 2016",Real Property Tax Law,BRONSON,
2315,S8070,https://www.nysenate.gov/legislation/bills/2015/S8070,"Relates to compensation, benefits and other terms and conditions of employment for certain state officers and employees; repealer"," July 21, 2016",Civil Service Law,AMEDORE,
2316,A10668,https://www.nysenate.gov/legislation/bills/2015/A10668,Relates to increasing the amount of bond and note authorization totals that may be made by certain agencies," July 21, 2016",Private Housing Finance Law,GJONAJ,
2317,S8092,https://www.nysenate.gov/legislation/bills/2015/S8092,Relates to compensation and benefits of certain members of the state police; appropriation; repealers," July 21, 2016",Executive Law,GALLIVAN,
2318,S8103,https://www.nysenate.gov/legislation/bills/2015/S8103,"Authorizes the alienation of certain parklands in the town of Islip, county of Suffolk"," July 21, 2016",Suffolk County,CROCI,
2319,S8107,https://www.nysenate.gov/legislation/bills/2015/S8107,Relates to excused leave to undertake a screening for prostate cancer," July 21, 2016",Civil Service Law,HANNON,
2320,A7738A,https://www.nysenate.gov/legislation/bills/2015/A7738,Requires insurers to provide and retain a signed notice to claimants in relation to insured's right to have a vehicle repaired in the shop of his/her choice," July 21, 2016",Insurance Law,MAGNARELLI,
2321,A10155,https://www.nysenate.gov/legislation/bills/2015/A10155,Authorizes the reopening of the twenty-five year retirement benefit plan to Jack Harb of Sullivan County," July 21, 2016",Retirement,GUNTHER,
2322,A10226,https://www.nysenate.gov/legislation/bills/2015/A10226,"Authorizes the county of Clinton to reinstate Aaron Heroux as a deputy sheriff, notwithstanding that such reinstatement will occur more than 1 year after leaving such position"," July 21, 2016",Civil Service,DUPREY,
2323,A10281,https://www.nysenate.gov/legislation/bills/2015/A10281,Authorizes Nicholas Cofield to take the competitive exam for police officer and be placed on the eligible list for such position in the town of Niagara," July 21, 2016",Civil Service,CERETTO,
2324,S7290,https://www.nysenate.gov/legislation/bills/2015/S7290,Relates to building aid for reconstruction or modernizing projects of the Rochester joint schools construction board," July 5, 2016",Education Law,ROBACH,
2325,S8046,https://www.nysenate.gov/legislation/bills/2015/S8046,Relates to allowing certain special assessing units other than cities to adjust their current base proportions," July 5, 2016",Real Property Tax Law,,
2326,S8062,https://www.nysenate.gov/legislation/bills/2015/S8062,Authorizes the taking and filing of oaths of office," July 5, 2016",Elections,RITCHIE,
2327,A10689,https://www.nysenate.gov/legislation/bills/2015/A10689,Relates to a residential reassessment exemption for the town of Ossining in the county of Westchester," July 5, 2016",Real Property Tax Law,GALEF,
2328,A8699,https://www.nysenate.gov/legislation/bills/2015/a8699/amendment/original,Extends time limitations for certain actions," June 30, 2016",Civil Practice,HUNTER,
2329,S6474,https://www.nysenate.gov/legislation/bills/2015/s6474/amendment/original,Relates to tuition waivers for police officer students of CUNY," June 30, 2016",Education,GOLDEN,
2330,S6788,https://www.nysenate.gov/legislation/bills/2015/s6788/amendment/original,Relates to the sale of municipal obligations by the county of Erie," June 30, 2016",Local Finance Law,GALLIVAN,
2331,S6821,https://www.nysenate.gov/legislation/bills/2015/s6821/amendment/original,Relates to the sale of bonds and notes of the city of Buffalo," June 30, 2016",Local Finance Law,RANZENHOFER,
2332,S6869,https://www.nysenate.gov/legislation/bills/2015/s6869/amendment/original,"Relates to extending the existence of the Hamilton county industrial development agency until July 21, 2026"," June 30, 2016",Hamilton County,FARLEY,
2333,A9422,https://www.nysenate.gov/legislation/bills/2015/a9422/amendment/original,Extends provisions of law relating to certified school psychologists and special education services and programs for preschool children with handicapping conditions," June 30, 2016",Education Law,GLICK,
2334,A9643,https://www.nysenate.gov/legislation/bills/2015/a9643/amendment/original,Relates to repair of damaged pesticide containers," June 30, 2016",Environmental Conservation,HUNTER,
2335,S7298,https://www.nysenate.gov/legislation/bills/2015/S7298,Relates to criminal history record checks for employees of nursing home and home care service agencies," June 30, 2016",Public Health Law,HANNON,
2336,A9929,https://www.nysenate.gov/legislation/bills/2015/A9929,Relates to the sale of bonds and notes of New York City," June 30, 2016",Local Finance Law,FARRELL,
2337,A10022,https://www.nysenate.gov/legislation/bills/2015/A10022,Extends provisions of chapter 618 of the laws of 1998 relating to the disposal of surplus computer equipment by political subdivisions," June 30, 2016",General Municipal Law,OTIS,
2338,A10121,https://www.nysenate.gov/legislation/bills/2015/A10121,"Extends from July 1, 2016 to July 1, 2019, the expiration of provisions relating to the estate tax treatment of dispositions to a surviving spouse who is not a United States citizen"," June 30, 2016",Tax Law,QUART,
2339,A10255,https://www.nysenate.gov/legislation/bills/2015/A10255,"Relates to federal bond volume allocations, the unified state bond ceiling and the private activity bond allocation act of 2016"," June 30, 2016",State Finance,MAGNARELLI,
2340,A10372,https://www.nysenate.gov/legislation/bills/2015/A10372,Relates to the rate of regular interest used in the actuarial valuation of liabilities for the purpose of calculating contributions to retirement systems," June 30, 2016",New York City Administrative Code,ABBATE,
2341,S8131,https://www.nysenate.gov/legislation/bills/2015/S8131,Relates to supplementary funding for dedicated programs for public school students in the East Ramapo Central School District," June 30, 2016",Appropriations,CARLUCCI,
2342,S8093,https://www.nysenate.gov/legislation/bills/2015/S8093,"Relates to coverage for the detection of breast cancer, requiring certified mammography facilities to provide extended hours and excused leave to undertake a breast cancer screening"," June 27, 2016",Insurance Law,FLANAGAN,
2343,S8141,https://www.nysenate.gov/legislation/bills/2015/S8141,Relates to establishing the New York state community restoration fund," June 23, 2016",Public Authorities Law,SAVINO,
2344,S8159,https://www.nysenate.gov/legislation/bills/2015/S8159,Makes amendments to certain provisions of the 2016--2017 state budget," June 23, 2016",Tax Law,FLANAGAN,
2345,S7860,https://www.nysenate.gov/legislation/bills/2015/S7860,Authorizes the maintenance and use of opioid antagonists at public libraries for the treatment of opioid overdoses," June 22, 2016",Public Health Law,AMEDORE,
2346,S8137,https://www.nysenate.gov/legislation/bills/2015/S8137,Relates to alcohol and substance abuse," June 22, 2016",Mental Hygiene Law,ORTT,
2347,S8138,https://www.nysenate.gov/legislation/bills/2015/S8138,"Relates to providing limited exemptions from professional misconduct, reporting opioid overdose data to the counties, and hospital substance use disorder policies and procedures"," June 22, 2016",Education Law,AMEDORE,
2348,S8139,https://www.nysenate.gov/legislation/bills/2015/S8139,Relates to the treatment of heroin and opioid addictions," June 22, 2016",Public Health Law,MURPHY,
2349,A1407B,https://www.nysenate.gov/legislation/bills/2015/a1407/amendment/b,Relates to vacancies on boards of cooperative educational services," June 8, 2016",Education Law,PAULIN,
2350,A6182,https://www.nysenate.gov/legislation/bills/2015/a6182/amendment/original,Authorizes school districts to order from certain farmers without requiring a waiver," June 8, 2016",General Municipal Law,RUSSELL,
2351,A6503A,https://www.nysenate.gov/legislation/bills/2015/a6503/amendment/a,Relates to jurisdiction and venue for organized retail theft crimes," June 8, 2016",Criminal Procedure Law,CUSICK,
2352,A7967B,https://www.nysenate.gov/legislation/bills/2015/A7967,Relates to veterans health care options and requires the division of veterans' affairs to post certain information on its website," June 8, 2016",Executive Law,DENDEKKER,
2353,A4186,https://www.nysenate.gov/legislation/bills/2015/a4186/amendment/original,Relates to the canvassing of primary returns by the board of elections," June 1, 2016",Election Law,CUSICK,
2354,A7597,https://www.nysenate.gov/legislation/bills/2015/a7597/amendment/original,"Provides for the repeal of subdivision 8 of section 4-104 of the election law, relating to the amount paid to lease a polling station"," June 1, 2016",Election Law,CUSICK,
2355,A7817,https://www.nysenate.gov/legislation/bills/2015/a7817/amendment/original,Relates to ensuring that certain notification requirements are cost-effective and efficient," June 1, 2016",Election Law,CUSICK,
2356,A8659,https://www.nysenate.gov/legislation/bills/2015/a8659/amendment/original,Relates to bonds and notes of the city of Yonkers," June 1, 2016",Local Finance Law,PRETLOW,
2357,A9480,https://www.nysenate.gov/legislation/bills/2015/a9480/amendment/original,"Extends provisions relating to participation in the banking development districts program to January l, 2023"," June 1, 2016",Banking Law,JEAN-PIERRE,
2358,A9572,https://www.nysenate.gov/legislation/bills/2015/a9572/amendment/original,Relates to service of process upon limited liability corporations and limited liability partnerships," June 1, 2016",Surrogate's Court Procedure Act,BRAUNSTEIN,
2359,A9686,https://www.nysenate.gov/legislation/bills/2015/a9686/amendment/original,Extends expiration of provisions of judiciary law authorizing referees to determine applications for orders of protection while family court is in session," June 1, 2016",Judiciary Law,BRONSON,
2360,S7160,https://www.nysenate.gov/legislation/bills/2015/s7160/amendment/original,Provides credit to members of public retirement systems of the state for military service rendered during certain periods; appropriation," May 31, 2016",Appropriations,LARKIN,
2361,A8082,https://www.nysenate.gov/legislation/bills/2015/a8082/amendment/original,Relates to agricultural districts law improvements," May 25, 2016",Agriculture and Markets Law,MAGEE,
2362,S6887,https://www.nysenate.gov/legislation/bills/2015/s6887/amendment/original,Extends health care professionals' authorizations to practice in this state at an event sanctioned by New York Road Runners," May 25, 2016",Health,PERKINS,
2363,A9518,https://www.nysenate.gov/legislation/bills/2015/a9518/amendment/original,Relates to the substitution of the term intellectual disability for the term mental retardation in family court proceedings," May 25, 2016",Domestic Relations Law,SIMON,
2364,S7181,https://www.nysenate.gov/legislation/bills/2015/S7181,"Extends certain provisions of law relating to the resale of tickets to places of entertainment through June 30, 2017"," May 14, 2016",Arts and Cultural Affairs,LANZA,
2365,A9454,https://www.nysenate.gov/legislation/bills/2015/a9454/amendment/original,Authorizes the city of New York to discontinue the use as city parkland of Christopher Park in the borough of Manhattan and to convey such interest to the United States," April 22, 2016",Real Property,GLICK,
2366,S5949A,https://www.nysenate.gov/legislation/bills/2015/s5949/amendment/a,"Establishes protocols for combative sports; authorizes mixed martial arts events in this state; repeals chapter 912 of the laws of 1920, relating to the regulation of boxing, sparring and wrestling"," April 14, 2016",Boxing,GRIFFO,
2367,S6402,https://www.nysenate.gov/legislation/bills/2015/s6402/amendment/original,DEBT SERVICE FUND--GENERAL DEBT SERVICE FUND BUDGET," April 13, 2016",Budget Bills,,
2368,S6425,https://www.nysenate.gov/legislation/bills/2015/s6425/amendment/original,Relates to burial of veterans of the armed forces," April 8, 2016",General Municipal Law,CROCI,
2369,S7159,https://www.nysenate.gov/legislation/bills/2015/s7159/amendment/original,Relates to home care worker wage parity," April 4, 2016",Public Health Law,,
2370,A9193,https://www.nysenate.gov/legislation/bills/2015/a9193/amendment/original,Relates to making a technical amendment involving the Gold Coast public library district," March 21, 2016",Public Authorities Law,RA,
2371,S6695,https://www.nysenate.gov/legislation/bills/2015/s6695/amendment/original,Relates to the restraint of pregnant female prisoners during childbirth," March 21, 2016",Correction Law,MONTGOMERY,
2372,S6699,https://www.nysenate.gov/legislation/bills/2015/s6699/amendment/original,Relates to sidewalk shed permit renewals," March 21, 2016",New York City Administrative Code,PERKINS,
2373,S6694,https://www.nysenate.gov/legislation/bills/2015/s6694/amendment/original,Relates to catastrophic or reinsurance coverage issued to certain small groups; repealer," March 11, 2016",Insurance Law,SEWARD,
2374,A9172,https://www.nysenate.gov/legislation/bills/2015/a9172/amendment/original,"Amending legislative bills numbers A. 2756 and S. 3856, designating working dogs as the official state dog"," March 8, 2016",State Law,TITONE,
2375,A9173,https://www.nysenate.gov/legislation/bills/2015/a9173/amendment/original,Relates to quarterly claim reports for certain disaster assistance," March 8, 2016",Executive Law,KAMINSKY,
2376,A9207,https://www.nysenate.gov/legislation/bills/2015/a9207/amendment/original,Relates to certain smoke detecting devices and the effectiveness thereof," March 8, 2016",General Business Law,MORELLE,
2377,S6601,https://www.nysenate.gov/legislation/bills/2015/s6601/amendment/original,Relates to the distribution of dividends by domestic stock life insurers," February 12, 2016",Insurance Law,SEWARD,
2378,A2121A,https://www.nysenate.gov/legislation/bills/2015/a2121/amendment/a,Establishes the Edward Hopper citation of merit for visual artists," December 28, 2015",Arts and Cultural Affairs Law,JAFFEE,
2379,S1380B,https://www.nysenate.gov/legislation/bills/2015/s1380/amendment/b,Relates to the distribution of dividends," December 28, 2015",Insurance Law,SEWARD,
2380,S5928A,https://www.nysenate.gov/legislation/bills/2015/s5928/amendment/a,Relates to catastrophic or reinsurance coverage issued to certain small groups," December 28, 2015",Insurance Law,SEWARD,
2381,A6626,https://www.nysenate.gov/legislation/bills/2015/a6626/amendment/original,Authorizes service animals or therapy dogs to accompany victims of domestic violence at residential programs," December 28, 2015",Social Services Law,ROSENTHAL,
2382,S4543,https://www.nysenate.gov/legislation/bills/2015/s4543/amendment/original,"Requires the consumer protection division to develop an unsecured furniture, television, and appliance public awareness campaign"," December 28, 2015",Consumer,RITCHIE,
2383,A7951,https://www.nysenate.gov/legislation/bills/2015/a7951/amendment/original,"Enacts the ""public employee whistleblower protection act""; repealer"," December 28, 2015",Civil Service Law,ABBATE,
2384,S6004,https://www.nysenate.gov/legislation/bills/2015/s6004/amendment/original,Relates to catastrophic or reinsurance coverage issued to certain small groups," December 28, 2015",Insurance Law,SEWARD,
2385,A3057A,https://www.nysenate.gov/legislation/bills/2015/a3057/amendment/a,Relates to certain smoke detecting devices," December 28, 2015",General Business Law,MORELLE,
2386,A6264,https://www.nysenate.gov/legislation/bills/2015/a6264/amendment/original,Provides time frames within which service by mailing must be made both within and without the state," December 22, 2015",Civil Practice Law and Rules,SIMOTAS,
2387,S3012,https://www.nysenate.gov/legislation/bills/2015/s3012/amendment/original,Relates to the directors of a domestic stock life insurance company," December 22, 2015",Insurance Law,SEWARD,
2388,A7679,https://www.nysenate.gov/legislation/bills/2015/a7679/amendment/original,Relates to permanency hearings for youth in foster care," December 22, 2015",Family Court Act,LUPARDO,
2389,A7681A,https://www.nysenate.gov/legislation/bills/2015/a7681/amendment/a,Provides for streamlined application process for affiliates of licensed operators of adult care facilities and assisted living facilities," December 22, 2015",Social Services Law,GOTTFRIED,
2390,S5752A,https://www.nysenate.gov/legislation/bills/2015/s5752/amendment/a,Relates to the burial of indigent veterans of the armed forces of the United States," December 22, 2015",General Municipal Law,CROCI,
2391,S4745B,https://www.nysenate.gov/legislation/bills/2015/s4745/amendment/b,Relates to the date of enrollment in the child health insurance plan," December 22, 2015",Public Health Law,FUNKE,
2392,S5826A,https://www.nysenate.gov/legislation/bills/2015/s5826/amendment/a,Authorizes surviving members of the household to apply for a transfer of the head of household's benefit under the SCRIE and DRIE programs," December 22, 2015",Real Property Tax Law,LANZA,
2393,S5972,https://www.nysenate.gov/legislation/bills/2015/s5972/amendment/original,Relates to permitting pregnant individuals to enroll in the state health insurance exchange at any time," December 22, 2015",Insurance Law,SEWARD,
2394,S4472D,https://www.nysenate.gov/legislation/bills/2015/s4472/amendment/d,Establishes the New York achieving a better life experience (NY ABLE) savings account act," December 22, 2015",Mental Hygiene Law,CARLUCCI,
2395,S5046A,https://www.nysenate.gov/legislation/bills/2015/s5046/amendment/a,"Prohibits any municipality from collecting a fine, penalty or forfeiture when the charge of a violation of the vehicle and traffic law is dismissed"," December 22, 2015",Vehicle and Traffic Law,AVELLA,
2396,A6430A,https://www.nysenate.gov/legislation/bills/2015/a6430/amendment/a,Relates to the restraint of pregnant female prisoners during childbirth," December 22, 2015",Correction Law,PERRY,
2397,A2756,https://www.nysenate.gov/legislation/bills/2015/a2756/amendment/original,Relates to designating the service dog as the official state dog," December 22, 2015",State Law,TITONE,
2398,A1421,https://www.nysenate.gov/legislation/bills/2015/a1421/amendment/original,Relates to real property tax exemptions for farm dwellings owned by a limited liability company," December 21, 2015",Real Property Tax Law,MAGNARELLI,
2399,A4310A,https://www.nysenate.gov/legislation/bills/2015/a4310/amendment/a,Requires the annual reporting of criminal activity on subways," December 21, 2015",New York City Administrative Code,BRENNAN,
2400,A6715A,https://www.nysenate.gov/legislation/bills/2015/a6715/amendment/a,"Relates to the treatment of non-respondent parents in child protective, destitute child and permanency proceedings in family court"," December 21, 2015",Family Court Act,WEINSTEIN,
2401,A7580,https://www.nysenate.gov/legislation/bills/2015/a7580/amendment/original,Authorizes state agencies to use discretionary purchasing authority for procurements from service-disabled veteran-owned businesses," December 21, 2015",State Finance Law,BICHOTTE,
2402,A5056,https://www.nysenate.gov/legislation/bills/2015/a5056/amendment/original,Authorizes enterprise fraud prevention and detection system by comptroller to develop and implement techniques and technologies to detect and prevent fraud," December 21, 2015",State Finance Law,HEVESI,
2403,A6902B,https://www.nysenate.gov/legislation/bills/2015/a6902/amendment/b,Requires state agencies to pay small businesses within fifteen days of receipt of an invoice," December 21, 2015",State Finance Law,BLAKE,
2404,S3221,https://www.nysenate.gov/legislation/bills/2015/s3221/amendment/original,Relates to university police officers appointed by the state university of New York," December 18, 2015",Retirement and Social Security Law,ROBACH,
2405,S3596,https://www.nysenate.gov/legislation/bills/2015/s3596/amendment/original,Clarifies conciliation procedures in cases when the recipient of public assistance programs refuses to comply with employment program requirements in N.Y. city," December 18, 2015",Social Services Law,SAVINO,
2406,S2647,https://www.nysenate.gov/legislation/bills/2015/s2647/amendment/original,Authorizes the Erie county medical center corporation to enter into agreements for the creation and operation of a health care delivery system network," December 18, 2015",Public Authorities Law,RANZENHOFER,
2407,S5867,https://www.nysenate.gov/legislation/bills/2015/s5867/amendment/original,Relates to the accountability and efficiency of industrial development agencies and authorities," December 18, 2015",General Municipal Law,MARCHIONE,
2408,A8298,https://www.nysenate.gov/legislation/bills/2015/a8298/amendment/original,"Relates to the organization, open meetings, public hearings, financial reporting and disposition of property of the Port Authority of New York and New Jersey"," December 18, 2015",Port Authority of New York and New Jersey,BRENNAN,
2409,S1316,https://www.nysenate.gov/legislation/bills/2015/s1316/amendment/original,Relates to the accurate reporting of crimes on college and university campuses," December 11, 2015",Education Law,MARCHIONE,
2410,A5333,https://www.nysenate.gov/legislation/bills/2015/a5333/amendment/original,Provides a procedure for determining suspensions and demotions of members of police agencies upon abolition or reduction of positions," December 11, 2015",Civil Service Law,ABBATE,
2411,A4487A,https://www.nysenate.gov/legislation/bills/2015/a4487/amendment/a,Requires annual reports to contain information specific to veteran-owned small businesses," December 11, 2015",Executive Law,RAMOS,
2412,S4929,https://www.nysenate.gov/legislation/bills/2015/s4929/amendment/original,Relates to the determination of eligibility for payment of interest on amounts owed to contractors," December 11, 2015",State Finance Law,DEFRANCISCO,
2413,S3346B,https://www.nysenate.gov/legislation/bills/2015/s3346/amendment/b,Relates to establishing a pharmacy benefit manager contract appeals process," December 11, 2015",Public Health Law,HANNON,
2414,A7748,https://www.nysenate.gov/legislation/bills/2015/a7748/amendment/original,Extends the aggregate term of a lease between SUNY Stony Brook and a not-for-profit corporation from 60 years to 83 years," December 11, 2015",Education,ENGLEBRIGHT,
2415,S2938A,https://www.nysenate.gov/legislation/bills/2015/s2938/amendment/a,Relates to prorating a veteran's exemption if such veteran moves within the same county," December 11, 2015",Real Property Tax Law,CROCI,
2416,S4899,https://www.nysenate.gov/legislation/bills/2015/s4899/amendment/original,Relates to the payment of foreign fire insurance premium taxes by the Volunteer Exempt Firefighter's Benevolent Association of Manhasset-Lakeville," December 11, 2015",Volunteer Firefighters' Benevolent Association,MARTINS,
2417,A6265,https://www.nysenate.gov/legislation/bills/2015/a6265/amendment/original,Relates to the use of expert affidavits in summary judgment motions," December 11, 2015",Civil Practice Law and Rules,KAMINSKY,
2418,S4393,https://www.nysenate.gov/legislation/bills/2015/s4393/amendment/original,Relates to certain matters relating to the issuance of debt and associated matters of the Oneida Public Library," December 11, 2015",Oneida County,VALESKY,
2419,S3300,https://www.nysenate.gov/legislation/bills/2015/s3300/amendment/original,Relates to the regulation of cemetery trust funds and finances by the cemetery board," December 11, 2015",Not-for-Profit Corporation Law,RANZENHOFER,
2420,S4780A,https://www.nysenate.gov/legislation/bills/2015/s4780/amendment/a,Relates to incapacitated parole violators," December 11, 2015",Executive Law,GALLIVAN,
2421,A1233A,https://www.nysenate.gov/legislation/bills/2015/a1233/amendment/a,Authorizes broadcasting of open meetings of an agency or department," December 11, 2015",Public Officers Law,PAULIN,
2422,S1233A,https://www.nysenate.gov/legislation/bills/2015/s1233/amendment/a,Requires reimbursement for surgical first assistant services," December 11, 2015",Insurance Law,LITTLE,
2423,S4990A,https://www.nysenate.gov/legislation/bills/2015/s4990/amendment/a,Authorizes paramedics to transport injured police work dogs to appropriate facilities in certain cases," December 11, 2015",General Municipal Law,VALESKY,
2424,A836,https://www.nysenate.gov/legislation/bills/2015/a836/amendment/original,Relates to training for staff in residential mental health treatment units programs inside correctional facilities," December 11, 2015",Correction Law,GUNTHER,
2425,A7462A,https://www.nysenate.gov/legislation/bills/2015/a7462/amendment/a,Authorizes the commissioner of motor vehicles to waive certain requirements relating to junk and salvage vehicles," December 11, 2015",Vehicle and Traffic Law,GOLDFEDER,
2426,S5948,https://www.nysenate.gov/legislation/bills/2015/s5948/amendment/original,Expands the powers and duties of the Historic Hudson-Hoosic Rivers partnership," December 11, 2015",Environmental Conservation Law,MARCHIONE,
2427,S3481B,https://www.nysenate.gov/legislation/bills/2015/s3481/amendment/b,"Restricts the use of all property in the county of Richmond purchased by the state under the NY rising recovery program, which is in the custody of the housing trust fund corporation"," December 11, 2015",Parks,LANZA,
2428,S4373,https://www.nysenate.gov/legislation/bills/2015/s4373/amendment/original,"Legalizes, validates, ratifies and confirms certain actions of the village of South Blooming Grove"," December 11, 2015",Villages,LARKIN,
2429,S5946,https://www.nysenate.gov/legislation/bills/2015/s5946/amendment/original,Requires pet dealers to provide recommendations on the care of small animals," December 11, 2015",General Business Law,AVELLA,
2430,S5324,https://www.nysenate.gov/legislation/bills/2015/s5324/amendment/original,Relates to the Peconic Bay Community Preservation Fund," December 11, 2015",Town Law,LAVALLE,
2431,S5721A,https://www.nysenate.gov/legislation/bills/2015/s5721/amendment/a,Relates to determining the rent increase exemption amount for individuals in a city with a population of one million or more," December 11, 2015",Real Property Tax Law,SAVINO,
2432,A5519C,https://www.nysenate.gov/legislation/bills/2015/a5519/amendment/c,Exempts fire vehicles from the weight restrictions of other vehicles," December 11, 2015",Vehicle and Traffic Law,GUNTHER,
2433,A5653B,https://www.nysenate.gov/legislation/bills/2015/a5653/amendment/b,Relates to fees for registration and reregistration of an agricultural trailer," December 11, 2015",Vehicle and Traffic Law,GUNTHER,
2434,S5110,https://www.nysenate.gov/legislation/bills/2015/s5110/amendment/original,Relates to service of income execution upon a judgment debtor," December 11, 2015",Civil Practice Law and Rules,LANZA,
2435,S5765,https://www.nysenate.gov/legislation/bills/2015/s5765/amendment/original,Relates to mobility vehicles and new mobility vehicles," December 11, 2015",Vehicle and Traffic Law,ROBACH,
2436,S5868A,https://www.nysenate.gov/legislation/bills/2015/s5868/amendment/a,Relates to the reform of charitable corporations," December 11, 2015",Not-for-Profit Corporation Law,RANZENHOFER,
2437,A2409,https://www.nysenate.gov/legislation/bills/2015/a2409/amendment/original,Relates to conditions for granting scaffolding permit renewals on construction projects involving public housing provided by the New York city housing authority," December 11, 2015",New York City Administrative Code,RODRIGUEZ,
2438,A6191,https://www.nysenate.gov/legislation/bills/2015/a6191/amendment/original,Authorizes the county of Westchester to issue certain bonds without the need for a referendum but subject to a public hearing," December 11, 2015",Local Finance Law,ABINANTI,
2439,A6941,https://www.nysenate.gov/legislation/bills/2015/a6941/amendment/original,Relates to the qualifications of certain county probation officer directors," December 11, 2015",Executive Law,MCDONALD,
2440,A7487,https://www.nysenate.gov/legislation/bills/2015/a7487/amendment/original,"Requires the issuance of certificates of occupancy, in the city of New York, for certain one and two family residences on an unmapped street"," December 11, 2015",General City Law,CUSICK,
2441,A7547,https://www.nysenate.gov/legislation/bills/2015/a7547/amendment/original,"Relates to allowing members of the NYSLPFRS to receive credit for service rendered with Metro-North, the L.I. Railroad or MTA"," December 11, 2015",Retirement and Social Security Law,ABBATE,
2442,S4920A,https://www.nysenate.gov/legislation/bills/2015/s4920/amendment/a,Relates to the reacquisition of abandoned cemetery plots," December 11, 2015",Religious Corporations Law,FARLEY,
2443,S3948B,https://www.nysenate.gov/legislation/bills/2015/s3948/amendment/b,"Relates to special retirement plans for sheriffs, undersheriffs and deputy sheriffs"," December 11, 2015",Retirement and Social Security Law,GOLDEN,
2444,S5610,https://www.nysenate.gov/legislation/bills/2015/s5610/amendment/original,Relates to promotions of captains," December 11, 2015",New York City Administrative Code,GOLDEN,
2445,S5892,https://www.nysenate.gov/legislation/bills/2015/s5892/amendment/original,Requires the director of the office for the aging to develop materials on aging agency programs and requires hospitals to provide such materials on discharge," December 11, 2015",Elder Law,VALESKY,
2446,A2458A,https://www.nysenate.gov/legislation/bills/2015/a2458/amendment/a,Relates to fuel gas transmission lines," December 11, 2015",Public Service Law,BRONSON,
2447,A2801,https://www.nysenate.gov/legislation/bills/2015/a2801/amendment/original,"Provides for the payment of the salary, wages, medical and hospital expenses of any city of Yonkers detention officer injured in the line of duty"," December 11, 2015",General Municipal Law,PRETLOW,
2448,A7573,https://www.nysenate.gov/legislation/bills/2015/a7573/amendment/original,Repeals provisions of law relating to service award programs," December 11, 2015",General Municipal Law,MAGNARELLI,
2449,A5317B,https://www.nysenate.gov/legislation/bills/2015/a5317/amendment/b,Relates to publicly accessible collection bins," December 11, 2015",General Business Law,BRAUNSTEIN,
2450,S5813B,https://www.nysenate.gov/legislation/bills/2015/s5813/amendment/b,Relates to the management of the Roosevelt Island operating corporation," December 3, 2015",Public Authorities Law,SERRANO,
2451,S3738A,https://www.nysenate.gov/legislation/bills/2015/s3738/amendment/a,Authorizes mutual aid agreements between counties for the provision of services by coroners and medical examiners," November 20, 2015",County Law,MARCHIONE,
2452,A6527,https://www.nysenate.gov/legislation/bills/2015/a6527/amendment/original,Relates to authorizing the Schenectady county correctional facility to also be used for the detention of persons under arrest being held for arraignment in any court located in the county of Schenectady," November 20, 2015",Correction Law,STECK,
2453,A5803,https://www.nysenate.gov/legislation/bills/2015/a5803/amendment/original,Relates to the statewide central register of child abuse and maltreatment; repealer," November 20, 2015",Social Services Law,FAHY,
2454,A737,https://www.nysenate.gov/legislation/bills/2015/a737/amendment/original,"Relates to the applicability of provisions relating to liability of shareholders for wages due to laborers, servants or employees for certain foreign corporations"," November 20, 2015",Business Corporation Law,STECK,
2455,A3053,https://www.nysenate.gov/legislation/bills/2015/a3053/amendment/original,Relates to the form and content of designating petitions for the office of board of education member for the city school district of the city of Albany," November 20, 2015",Education Law,FAHY,
2456,A3262,https://www.nysenate.gov/legislation/bills/2015/a3262/amendment/original,"Requires the commissioner of motor vehicles, when processing reports of accidents filed, to give priority to reports involving serious physical injury or death"," November 20, 2015",Vehicle and Traffic Law,TITUS,
2457,A7186,https://www.nysenate.gov/legislation/bills/2015/a7186/amendment/original,Relates to allowing certain special assessing units other than cities to adjust their current base proportions," November 20, 2015",Real Property Tax Law,KAMINSKY,
2458,S440B,https://www.nysenate.gov/legislation/bills/2015/s440/amendment/b,Relates to providing alcoholic beverages on credit to any business or corporation," November 20, 2015",Alcoholic Beverage Control Law,GALLIVAN,
2459,S4006,https://www.nysenate.gov/legislation/bills/2015/s4006/amendment/original,In relation to applicable interest rate for calculating certain benefits provided by the New York state teachers' retirement system," November 20, 2015",Education Law,GOLDEN,
