,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,sponsor_party,sponsor_name,bill_year
194,A3985,https://www.nysenate.gov/legislation/bills/2019/a3985,Creates the crime of staging a motor vehicle accident,2019-08-08,Penal ,WEPRIN,Democrat,David Weprin,2019
195,A1249,https://www.nysenate.gov/legislation/bills/2021/a1249,"Relates to the correctional association's ability to access, visit, inspect, and examine all state correctional facilities",2021-02-16,Correction ,WEPRIN,Democrat,David Weprin,2021
196,A6420,https://www.nysenate.gov/legislation/bills/2009/a6420/amendment/original,Relates to the commission for the blind and the operation of vending facilities,2010-10-01,Commissions,WEISENBERG,Democrat,Harvey Weisenberg,2010
197,A9750,https://www.nysenate.gov/legislation/bills/2009/a9750/amendment/original,Extends the effectiveness of chapter 846 of the laws of 1970 relating to payments in lieu of taxes for property acquired for park or recreational purposes,2010-07-30,"Parks, Recreation and Historic Preservation",WEISENBERG,Democrat,Harvey Weisenberg,2010
198,A11237,https://www.nysenate.gov/legislation/bills/2009/a11237/amendment/original,Relates to the base proportions of approved assessing units in the county of Nassau,2010-07-30,Property Tax,WEISENBERG,Democrat,Harvey Weisenberg,2010
199,A10049,https://www.nysenate.gov/legislation/bills/2009/a10049/amendment/original,Relating to payment in lieu of taxes for property acquired for park or recreational purposes by town of Hempstead,2010-07-30,Towns ,WEISENBERG,Democrat,Harvey Weisenberg,2010
200,A40008,https://www.nysenate.gov/legislation/bills/2009/a40008/amendment/original,Relates to operating a motor vehicle while under the influence of alcohol or drugs with a child passenger,2009-11-18,Vehicle and Traffic ,WEISENBERG,Democrat,Harvey Weisenberg,2009
201,A7664,https://www.nysenate.gov/legislation/bills/2009/a7664/amendment/original,Allows special assessing units besides cities to adjust their current base proportions based on such special assessing unit's 2009 assessment roll,2009-08-26,Property Tax,WEISENBERG,Democrat,Harvey Weisenberg,2009
202,A8905,https://www.nysenate.gov/legislation/bills/2009/a8905/amendment/original,Authorizes Young Israel of Hewlett to file applications for real property tax exemptions with the county of Nassau,2009-08-11,Property Tax,WEISENBERG,Democrat,Harvey Weisenberg,2009
203,A2003,https://www.nysenate.gov/legislation/bills/2009/a2003/amendment/original,Makes technical correction to provisions designating surrogate decision-making committees as guardians of mentally retarded persons,2009-04-07,Surrogate's Court Procedure Act,WEISENBERG,Democrat,Harvey Weisenberg,2009
204,A10046,https://www.nysenate.gov/legislation/bills/2011/a10046/amendment/original,Provides that any firefighter who is killed while performing services in the line of duty be included on the fallen firefighters memorial,2012-07-12,Executive ,WEISENBERG,Democrat,Harvey Weisenberg,2012
205,A9773,https://www.nysenate.gov/legislation/bills/2011/a9773/amendment/original,Relates to allowing certain special assessing units other than cities to adjust their current base proportions,2012-06-29,Property Tax,WEISENBERG,Democrat,Harvey Weisenberg,2012
206,A9012,https://www.nysenate.gov/legislation/bills/2011/a9012/amendment/original,Relates to the base proportion in approved assessing units in Nassau county,2012-05-18,Property Tax,WEISENBERG,Democrat,Harvey Weisenberg,2012
207,A8908,https://www.nysenate.gov/legislation/bills/2011/a8908/amendment/original,Relates to Camphill Ghent integrated services,2012-02-17,Columbia County,WEISENBERG,Democrat,Harvey Weisenberg,2012
208,A8693,https://www.nysenate.gov/legislation/bills/2011/a8693/amendment/original,Provides that the provisions creating the abuse prevention notification system shall take effect on the one hundred eightieth day,2012-02-01,Mental Hygiene ,WEISENBERG,Democrat,Harvey Weisenberg,2012
209,A8330,https://www.nysenate.gov/legislation/bills/2011/a8330/amendment/original,Creates an abuse prevention notification system,2012-01-27,Mental Hygiene ,WEISENBERG,Democrat,Harvey Weisenberg,2012
210,A5661,https://www.nysenate.gov/legislation/bills/2011/a5661/amendment/original,"Relates to the definition, and information provided about, sex offenders",2011-09-23,Correction ,WEISENBERG,Democrat,Harvey Weisenberg,2011
211,A1007,https://www.nysenate.gov/legislation/bills/2011/a1007/amendment/original,Prohibits insurance companies from refusing to issue or renew an automobile insurance policy when the motor vehicle to be insured is used for fire fighting,2011-08-17,Insurance ,WEISENBERG,Democrat,Harvey Weisenberg,2011
212,A6963,https://www.nysenate.gov/legislation/bills/2011/a6963/amendment/original,Relates to the management of bluefish,2011-08-17,Environmental Conservation,WEISENBERG,Democrat,Harvey Weisenberg,2011
213,A6962,https://www.nysenate.gov/legislation/bills/2011/a6962/amendment/original,Relates to the management of Atlantic cod,2011-08-03,Environmental Conservation,WEISENBERG,Democrat,Harvey Weisenberg,2011
214,A6462,https://www.nysenate.gov/legislation/bills/2011/a6462/amendment/original,Relates to allowing certain special assessing units other than cities to adjust their current base proportions,2011-07-20,Property Tax,WEISENBERG,Democrat,Harvey Weisenberg,2011
215,A8639,https://www.nysenate.gov/legislation/bills/2013/a8639/amendment/original,Relates to allowing certain special assessing units other than cities to adjust their current base proportions,2014-11-21,Property Tax,WEISENBERG,Democrat,Harvey Weisenberg,2014
216,A8646,https://www.nysenate.gov/legislation/bills/2013/a8646/amendment/original,Relates to the base proportion in approved assessing units in Nassau county,2014-09-04,Property Tax,WEISENBERG,Democrat,Harvey Weisenberg,2014
217,A6192,https://www.nysenate.gov/legislation/bills/2009/a6192/amendment/original,Changes composition of the advisory council for the housing part of the New York city civil court,2010-09-17,New York City Civil Court Act,WEINSTEIN,Democrat,Helene Weinstein,2010
218,A6922,https://www.nysenate.gov/legislation/bills/2009/a6922/amendment/original,Relates to the enforcement of state court judgments,2010-08-30,Civil Practice,WEINSTEIN,Democrat,Helene Weinstein,2010
219,A8969,https://www.nysenate.gov/legislation/bills/2009/a8969/amendment/original,Expands assets for the benefit of a decedent's family which are exempt from provisions of a will,2010-08-30,"Estates, Powers and Trusts ",WEINSTEIN,Democrat,Helene Weinstein,2010
220,A11100,https://www.nysenate.gov/legislation/bills/2009/a11100/amendment/original,Relates to service of orders of protection including applications to extend and petitions for violations of orders of protection and temporary orders of protection,2010-08-30,Family Court Act,WEINSTEIN,Democrat,Helene Weinstein,2010
221,A2876,https://www.nysenate.gov/legislation/bills/2009/a2876/amendment/original,Grants the court of claims jurisdiction to hear and determine claims against the state for retaliatory personnel actions,2010-08-13,Court of Claims Act,WEINSTEIN,Democrat,Helene Weinstein,2010
222,A8952,https://www.nysenate.gov/legislation/bills/2009/a8952/amendment/original,"Relates to modifying child support orders, employer reporting of new hires and quarterly earnings, work experience programs and noncustodial earned income tax",2010-07-15,Tax ,WEINSTEIN,Democrat,Helene Weinstein,2010
223,A8394,https://www.nysenate.gov/legislation/bills/2009/a8394/amendment/original,Grants jurisdiction to entertain certain declaratory judgment actions commenced pursuant to the fee dispute resolution program,2010-04-28,New York City Civil Court Act,WEINSTEIN,Democrat,Helene Weinstein,2010
224,A2575,https://www.nysenate.gov/legislation/bills/2009/a2575/amendment/original,Establishes criteria for notice to be filed and served when done by electronic means in N.Y. city,2010-03-23,General Municipal ,WEINSTEIN,Democrat,Helene Weinstein,2010
225,A9017,https://www.nysenate.gov/legislation/bills/2009/a9017/amendment/original,Enacts provisions relating to domestic violence; requiring attorneys for children to receive training or education in domestic violence,2009-09-16,Family Court Act,WEINSTEIN,Democrat,Helene Weinstein,2009
226,A7260,https://www.nysenate.gov/legislation/bills/2009/a7260/amendment/original,"Grants poundage to the sheriff upon a settlement, when a property execution has been issued and the property has been levied against",2009-08-26,Civil Practice,WEINSTEIN,Democrat,Helene Weinstein,2009
227,A8888,https://www.nysenate.gov/legislation/bills/2009/a8888/amendment/original,"Enacts the ""child support modernization act""",2009-08-11,Social Services ,WEINSTEIN,Democrat,Helene Weinstein,2009
228,A7570,https://www.nysenate.gov/legislation/bills/2009/a7570/amendment/original,Includes the loss of health insurance coverage in the determination of maintenance and the equitable distribution of marital property,2009-07-16,Domestic Relations ,WEINSTEIN,Democrat,Helene Weinstein,2009
229,A8977,https://www.nysenate.gov/legislation/bills/2009/a8977/amendment/original,"Establishes definitions for ""cash medical support"", ""reasonable in cost"" and ""reasonably accessible""; repealer",2009-07-11,Family Court Act,WEINSTEIN,Democrat,Helene Weinstein,2009
230,A4790,https://www.nysenate.gov/legislation/bills/2009/a4790/amendment/original,Extends until 2014 the provisions of chapter 455 of the laws of 1997 conferring certain powers on New York city marshals,2009-07-11,New York City Civil Court Act,WEINSTEIN,Democrat,Helene Weinstein,2009
231,A2574,https://www.nysenate.gov/legislation/bills/2009/a2574/amendment/original,Establishes automatic orders in matrimonial actions,2009-06-24,Domestic Relations ,WEINSTEIN,Democrat,Helene Weinstein,2009
232,A2006,https://www.nysenate.gov/legislation/bills/2009/a2006/amendment/original,"Expands definition of ""property of another"", for purposes of criminal mischief, to include any property another person has an interest in",2009-05-29,Penal ,WEINSTEIN,Democrat,Helene Weinstein,2009
233,A2578,https://www.nysenate.gov/legislation/bills/2009/a2578/amendment/original,Repeals section 516 of the family court act relating to agreement or compromise of support in paternity proceedings,2009-05-19,Family Court Act,WEINSTEIN,Democrat,Helene Weinstein,2009
234,A4393,https://www.nysenate.gov/legislation/bills/2009/a4393/amendment/original,"Makes a technical correction to chapter 326 of the laws of 2008, for the expiration of family courts to hear certain ex parte applications for orders of protection",2009-04-21,Family Court Act,WEINSTEIN,Democrat,Helene Weinstein,2009
235,A4392,https://www.nysenate.gov/legislation/bills/2009/a4392/amendment/original,"Delays from March 1, 2009 until September 1, 2009, the effective date of amendments to the provisions of law providing for powers of attorney",2009-02-25,General Obligations ,WEINSTEIN,Democrat,Helene Weinstein,2009
236,A10664,https://www.nysenate.gov/legislation/bills/2011/a10664/amendment/original,Relates to orders of observation for the purpose of determining incapacitation,2012-10-03,Criminal Procedure ,WEINSTEIN,Democrat,Helene Weinstein,2012
237,A8554,https://www.nysenate.gov/legislation/bills/2011/a8554/amendment/original,Provides for the inclusion of all property required to be set off in the value of a small estate,2012-08-01,Surrogate's Court Procedure Act,WEINSTEIN,Democrat,Helene Weinstein,2012
238,A9400,https://www.nysenate.gov/legislation/bills/2011/a9400/amendment/original,Extends the chief administrator of the courts' authority to allow referees to determine certain applications to a family court for an order of protection,2012-07-18,Judiciary ,WEINSTEIN,Democrat,Helene Weinstein,2012
239,A10706,https://www.nysenate.gov/legislation/bills/2011/a10706/amendment/original,Authorizes pilot program permitting use of electronic means for commencing actions in certain criminal and family court proceedings; repealer,2012-07-18,Civil Practice,WEINSTEIN,Democrat,Helene Weinstein,2012
240,A7729,https://www.nysenate.gov/legislation/bills/2011/a7729/amendment/original,Modifies certain formulas construed to refer to the federal estate and generation-skipping transfer tax on estates of decedents dying during 2010,2011-09-23,"Estates, Powers and Trusts ",WEINSTEIN,Democrat,Helene Weinstein,2011
241,A624,https://www.nysenate.gov/legislation/bills/2011/a624/amendment/original,Provides that certain defenses relating to proper service on a third-party plaintiff by a plaintiff may not be asserted in the answer of a third-party defendant,2011-08-03,Civil Practice,WEINSTEIN,Democrat,Helene Weinstein,2011
242,A8007,https://www.nysenate.gov/legislation/bills/2011/a8007/amendment/original,Provides that any grant or gift of money to the unified court system shall be disposed of by the chief administrator of the courts in the manner provided by law,2011-07-20,Judiciary ,WEINSTEIN,Democrat,Helene Weinstein,2011
243,A627,https://www.nysenate.gov/legislation/bills/2011/a627/amendment/original,"Includes harassment, sexual misconduct, forcible touching, sexual abuse, stalking and criminal mischief within offenses which may constitute domestic violence",2011-04-13,Social Services ,WEINSTEIN,Democrat,Helene Weinstein,2011
244,A851,https://www.nysenate.gov/legislation/bills/2011/a851/amendment/original,Relates to increasing property values which are exempt from the satisfaction of a money judgement,2011-01-19,Civil Practice,WEINSTEIN,Democrat,Helene Weinstein,2011
245,A9933,https://www.nysenate.gov/legislation/bills/2013/a9933/amendment/original,Relates to revising and modernizing the uniform commercial code,2014-12-17,Uniform Commercial Code,WEINSTEIN,Democrat,Helene Weinstein,2014
246,A1185,https://www.nysenate.gov/legislation/bills/2013/a1185/amendment/original,Establishes the formula for determining the interest payable on a delayed legacy; repealer,2014-10-21,"Estates, Powers and Trusts ",WEINSTEIN,Democrat,Helene Weinstein,2014
247,A3549,https://www.nysenate.gov/legislation/bills/2013/a3549/amendment/original,Limits the scope of information disclosed in a published notice of change of name,2014-08-11,Civil Rights ,WEINSTEIN,Democrat,Helene Weinstein,2014
248,A10128,https://www.nysenate.gov/legislation/bills/2013/a10128/amendment/original,Relates to the crime of aggravated harassment in the second degree,2014-07-23,Penal ,WEINSTEIN,Democrat,Helene Weinstein,2014
249,A10139,https://www.nysenate.gov/legislation/bills/2013/a10139/amendment/original,Relates to the number of judges of the family court,2014-06-26,Family Court Act,WEINSTEIN,Democrat,Helene Weinstein,2014
250,A9354,https://www.nysenate.gov/legislation/bills/2013/a9354/amendment/original,Extends expiration of provisions of civil practice law and rules requiring settlement conferences in residential foreclosure actions,2014-06-19,Real Property Actions and Proceedings ,WEINSTEIN,Democrat,Helene Weinstein,2014
251,A7400,https://www.nysenate.gov/legislation/bills/2013/a7400/amendment/original,"Adds identity theft, larceny and coercion to those offenses over which criminal and family courts have concurrent jurisdiction when involving family or household members",2013-12-18,Family Court Act,WEINSTEIN,Democrat,Helene Weinstein,2013
252,A7062,https://www.nysenate.gov/legislation/bills/2013/a7062/amendment/original,Relates to settlement of account by a resigning fiduciary,2013-11-13,Surrogate's Court Procedure Act,WEINSTEIN,Democrat,Helene Weinstein,2013
253,A4061,https://www.nysenate.gov/legislation/bills/2013/a4061/amendment/original,Relates to the effectiveness of the exercise of a power of appointment and an authorized trustee's authority to invade trust principal,2013-10-23,"Estates, Powers and Trusts",WEINSTEIN,Democrat,Helene Weinstein,2013
254,A857,https://www.nysenate.gov/legislation/bills/2013/a857/amendment/original,Enacts the uniform guardianship and protective proceedings jurisdiction act,2013-10-23,Mental Hygiene ,WEINSTEIN,Democrat,Helene Weinstein,2013
255,A1051,https://www.nysenate.gov/legislation/bills/2013/a1051/amendment/original,"Relates to the filing of notices of claim prior to the commencement of a cause of action against any state or municipal entity, public authority or public benefit corporation",2013-05-02,Civil Practice,WEINSTEIN,Democrat,Helene Weinstein,2013
256,A196,https://www.nysenate.gov/legislation/bills/2013/a196/amendment/original,Relates to orders of observation for the purpose of determining incapacitation,2013-03-15,Criminal Procedure ,WEINSTEIN,Democrat,Helene Weinstein,2013
257,A10071,https://www.nysenate.gov/legislation/bills/2015/A10071,Relates to judicial wellness and assistance committees,2016-09-29,Judiciary ,WEINSTEIN,Democrat,Helene Weinstein,2016
258,A6715A,https://www.nysenate.gov/legislation/bills/2015/a6715/amendment/a,"Relates to the treatment of non-respondent parents in child protective, destitute child and permanency proceedings in family court",2015-12-21,Family Court Act,WEINSTEIN,Democrat,Helene Weinstein,2015
259,A6024A,https://www.nysenate.gov/legislation/bills/2015/a6024/amendment/a,Establishes the time periods for the payment of legacies to genetic children of the decedent without the accrual of interest,2015-11-20,"Estates, Powers and Trusts ",WEINSTEIN,Democrat,Helene Weinstein,2015
260,A7221,https://www.nysenate.gov/legislation/bills/2015/a7221/amendment/original,Relates to counsel fees and expenses in matrimonial actions,2015-11-20,Domestic Relations ,WEINSTEIN,Democrat,Helene Weinstein,2015
261,A7596,https://www.nysenate.gov/legislation/bills/2015/a7596/amendment/original,Clarifies the effect of registering an order appointing a guardian of another person or protective order from another state,2015-11-20,Mental Hygiene ,WEINSTEIN,Democrat,Helene Weinstein,2015
262,A7645,https://www.nysenate.gov/legislation/bills/2015/a7645/amendment/original,Relates to the duration and amount of maintenance and of spousal support,2015-09-25,Domestic Relations ,WEINSTEIN,Democrat,Helene Weinstein,2015
263,A7939A,https://www.nysenate.gov/legislation/bills/2015/a7939/amendment/a,Expands provisions to enable persons who are deaf or hard of hearing to participate in court proceedings,2015-09-25,Judiciary ,WEINSTEIN,Democrat,Helene Weinstein,2015
264,A8083,https://www.nysenate.gov/legislation/bills/2015/a8083/amendment/original,Relates to the use of electronic means for the commencement and filing of papers in certain actions and proceedings,2015-08-31,Judiciary ,WEINSTEIN,Democrat,Helene Weinstein,2015
265,A10479,https://www.nysenate.gov/legislation/bills/2017/a10479,"Relates to the sale, issuance and refund of bonds and notes of New York city",2018-07-01,Local Finance ,WEINSTEIN,Democrat,Helene Weinstein,2018
266,A1482,https://www.nysenate.gov/legislation/bills/2017/A1482,"Provides that adjustments made by a trustee, under the prudent investor act, shall be deemed to be re-characterizations for the purposes of the payment of commissions",2017-09-12,"Estates, Powers and Trusts ",WEINSTEIN,Democrat,Helene Weinstein,2017
267,A8101,https://www.nysenate.gov/legislation/bills/2017/a8101,Relates to terms and conditions of employment of certain nonjudicial officers and employees of the unified court system,2017-07-24,Judiciary,WEINSTEIN,Democrat,Helene Weinstein,2017
268,A8127,https://www.nysenate.gov/legislation/bills/2017/a8127,Relates to the use of electronic means for the commencement and filing of papers in certain actions and proceedings,2017-07-24,Judiciary ,WEINSTEIN,Democrat,Helene Weinstein,2017
269,A7395,https://www.nysenate.gov/legislation/bills/2019/a7395,Relates to notification of rights of victims of domestic violence in criminal and family court proceedings,2019-12-16,Family Court Act,WEINSTEIN,Democrat,Helene Weinstein,2019
270,A5622,https://www.nysenate.gov/legislation/bills/2019/a5622,Relates to enacting the uniform voidable transactions act; repealer,2019-12-06,Debtor and Creditor ,WEINSTEIN,Democrat,Helene Weinstein,2019
271,A5626,https://www.nysenate.gov/legislation/bills/2019/a5626,Provides for the regulation of federal home equity conversion mortgages,2019-12-06,Real Property ,WEINSTEIN,Democrat,Helene Weinstein,2019
272,A5615,https://www.nysenate.gov/legislation/bills/2019/a5615,Provides for the regulation of distressed home loans,2019-08-14,Real Property ,WEINSTEIN,Democrat,Helene Weinstein,2019
273,A2505,https://www.nysenate.gov/legislation/bills/2021/a2505,Prohibits contracts for the purchase or lease of consumer goods from restricting venue in an action relating to such contract,2021-11-03,Civil Practice,WEINSTEIN,Democrat,Helene Weinstein,2021
274,A7942,https://www.nysenate.gov/legislation/bills/2021/a7942,Relates to the transfer of unclaimed support collections and unidentified payments; repealer,2021-07-30,Social Services ,WEINSTEIN,Democrat,Helene Weinstein,2021
275,A7179,https://www.nysenate.gov/legislation/bills/2021/a7179,Relates to the effectiveness of certain provisions appropriating money for certain municipal corporations and school districts,2021-07-16,Municipalities,WEINSTEIN,Democrat,Helene Weinstein,2021
276,S6459,https://www.nysenate.gov/legislation/bills/2021/s6459,Relates to the nomination of chief and assistant chiefs in the Cherry Grove fire district,2021-07-16,Towns ,WEIK,Republican,Alexis Weik,2021
277,A9643,https://www.nysenate.gov/legislation/bills/2017/a9643,Relates to increasing the revised rule public comment period from thirty days to forty-five days,2018-12-21,State Administrative Procedure Act,WALLACE,Democrat,Monica Wallace,2018
278,A7951,https://www.nysenate.gov/legislation/bills/2017/a7951,Makes a technical correction relating to the process of selling surplus fire equipment and vehicles,2017-10-23,Towns ,WALLACE,Democrat,Monica Wallace,2017
279,A7965,https://www.nysenate.gov/legislation/bills/2017/a7965,"Relates the restrictions on the taking of fish, shellfish and crustacea in special management areas",2017-08-21,Environmental Conservation,WALLACE,Democrat,Monica Wallace,2017
280,A8105,https://www.nysenate.gov/legislation/bills/2017/a8105,Relates to the effectiveness of certain provisions of chapter 462 of the laws of 2015 amending the elder law relating to long term care ombudsman access to assisted living facilities,2017-08-21,Elder ,WALLACE,Democrat,Monica Wallace,2017
281,A8839,https://www.nysenate.gov/legislation/bills/2021/a8839,Relates to posting of information relating to the long-term care ombudsman program,2022-02-24,Public Health,WALLACE,Democrat,Monica Wallace,2022
282,A8839,https://www.nysenate.gov/legislation/bills/2021/a8839,Relates to posting of information relating to the long-term care ombudsman program,2022-02-24,Public Health,WALLACE,Democrat,Monica Wallace,2022
283,A7022,https://www.nysenate.gov/legislation/bills/2021/a7022,Relates to the effectiveness of certain provisions relating to long term care ombudsman access to assisted living facilities,2021-07-01,Elder ,WALLACE,Democrat,Monica Wallace,2021
284,A954,https://www.nysenate.gov/legislation/bills/2021/a954,Relates to the use of biometric identifying technology; repealer,2021-01-28,State Technology ,WALLACE,Democrat,Monica Wallace,2021
285,A8356,https://www.nysenate.gov/legislation/bills/2009/a8356/amendment/original,Relates to a real property tax exemption for cold war veterans in the town of Oyster Bay in the county of Nassau,2009-09-16,Property Tax,WALKER,Democrat,Latrice Walker,2009
286,A7511,https://www.nysenate.gov/legislation/bills/2015/a7511/amendment/original,Extends the effectiveness of provisions of law relating to temporary retail permits issued by the state liquor authority,2015-08-13,Alcoholic Beverage Control ,WALKER,Democrat,Latrice Walker,2015
287,A6255,https://www.nysenate.gov/legislation/bills/2017/a6255/amendment/original,Authorizes the New York state energy research and development authority to study significantly improving high-performance efficiency in commercial office buildings,2018-10-01,Energy Conservation,WALKER,Democrat,Latrice Walker,2018
288,A10560,https://www.nysenate.gov/legislation/bills/2017/a10560,Extends expiration of authority granted to the department of housing preservation and development of city of New York to restructure rents of dwelling units in buildings foreclosed upon by the federal government,2018-07-01,Private Housing Finance ,WALKER,Democrat,Latrice Walker,2018
289,A7439,https://www.nysenate.gov/legislation/bills/2017/a7439/amendment/original,Relates to the duties of the district attorney in cases in which the final disposition includes convictions of certain felonies,2017-08-21,Criminal Procedure ,WALKER,Democrat,Latrice Walker,2017
290,A7174,https://www.nysenate.gov/legislation/bills/2021/a7174,Relates to urban development action areas,2021-06-29,General Municipal ,WALKER,Democrat,Latrice Walker,2021
291,A1941,https://www.nysenate.gov/legislation/bills/2021/a1941,Allows for medical and psychiatric records of deceased inmates to be accessed by the board of correction of the city of New York,2021-02-16,Mental Hygiene ,WALKER,Democrat,Latrice Walker,2021
292,A2574,https://www.nysenate.gov/legislation/bills/2021/a2574,Relates to the automatic voter registration process,2021-02-16,Election ,WALKER,Democrat,Latrice Walker,2021
293,A10514,https://www.nysenate.gov/legislation/bills/2019/a10514,Relates to Watertown city court judges,2020-12-15,Uniform City Court Act,WALCZYK,Republican,Mark Walczyk,2020
294,S2405,https://www.nysenate.gov/legislation/bills/2009/s2405/amendment/original,Relates to a sentence of parole,2010-06-15,Criminal Procedure ,VOLKER,Republican,Dale Volker,2010
295,S2100,https://www.nysenate.gov/legislation/bills/2009/s2100/amendment/original,Extends Wyoming county's authorization to impose a one percent addition to the 3% sales and compensating use tax rates for additional 2 years through 11/30/11,2009-07-28,Tax ,VOLKER,Republican,Dale Volker,2009
296,S5858B,https://www.nysenate.gov/legislation/bills/2015/S5858,Relates to the process of selling surplus fire equipment and vehicles,2016-11-14,Towns ,VENDITTO,Republican,Michael Venditto,2016
297,S4952B,https://www.nysenate.gov/legislation/bills/2015/s4952/amendment/b,"Designates the ""Corporal Tony Casamento Memorial Bridge""",2016-09-29,Highway,VENDITTO,Republican,Michael Venditto,2016
298,S4303,https://www.nysenate.gov/legislation/bills/2015/s4303/amendment/original,"Authorizes the assessor of the county of Nassau to accept an application for exemption from real property tax from the Calvary Apostolic Church, Inc.",2015-09-25,Property Tax,VENDITTO,Republican,Michael Venditto,2015
299,S4885,https://www.nysenate.gov/legislation/bills/2015/s4885/amendment/original,Relates to extending the authority of the department of environmental conservation to manage striped bass,2015-08-13,Environmental Conservation,VENDITTO,Republican,Michael Venditto,2015
300,S4886,https://www.nysenate.gov/legislation/bills/2015/s4886/amendment/original,Relates to extending the authority of the department of environmental conservation to manage black sea bass,2015-08-13,Environmental Conservation,VENDITTO,Republican,Michael Venditto,2015
301,S5929,https://www.nysenate.gov/legislation/bills/2015/s5929/amendment/original,Relates to extending the authority of the department of environmental conservation to manage crabs,2015-08-13,Environmental Conservation,VENDITTO,Republican,Michael Venditto,2015
302,S5966,https://www.nysenate.gov/legislation/bills/2015/s5966/amendment/original,Relates to authorizing the secretary of state to order the cessation of unlicensed appearance enhancement activity and to register trainees in the practice of nail specialty,2015-07-16,General Business ,VENDITTO,Republican,Michael Venditto,2015
303,A8988,https://www.nysenate.gov/legislation/bills/2019/a8988,Relates to directing the study of the future implementation of fifth and future generation wireless network system technology in the state,2020-04-17,State Technology,VANEL,Democrat,Clyde Vanel,2020
304,A1503,https://www.nysenate.gov/legislation/bills/2019/a1503,Relates to studying the implementation of 5G and next gen network technology in the state,2019-12-16,State Technology,VANEL,Democrat,Clyde Vanel,2019
305,S7556,https://www.nysenate.gov/legislation/bills/2009/s7556/amendment/original,Clarifies the application of the tax credit for rehabilitation of historic properties and historic homes and makes permanent certain provisions of the tax law regarding the credit,2010-08-30,Tax ,VALESKY,Democrat,David Valesky,2010
306,S2622,https://www.nysenate.gov/legislation/bills/2009/s2622/amendment/original,Provides that traps shall bear the name and residence address or the assigned identification number of the trapper,2010-07-30,Environmental Conservation,VALESKY,Democrat,David Valesky,2010
307,S7257,https://www.nysenate.gov/legislation/bills/2009/s7257/amendment/original,Includes payments from the state's farmland protection program as federal gross income,2010-07-30,Tax ,VALESKY,Democrat,David Valesky,2010
308,S8095,https://www.nysenate.gov/legislation/bills/2009/s8095/amendment/original,"Relates to the Rome urban renewal agency; and to transfer any books, records and remaining rights of the dissolved agency to the city of Rome; repealer",2010-07-30,General Municipal ,VALESKY,Democrat,David Valesky,2010
309,S6268,https://www.nysenate.gov/legislation/bills/2009/s6268/amendment/original,Repeals provisions of law relating to beekeeper and apiary surveys,2010-06-15,Agriculture and Markets,VALESKY,Democrat,David Valesky,2010
310,S66005,https://www.nysenate.gov/legislation/bills/2009/s66005/amendment/original,Relates to eligibility of certain felony offenders for parole and medical parole,2009-11-16,Penal ,VALESKY,Democrat,David Valesky,2009
311,S2861,https://www.nysenate.gov/legislation/bills/2009/s2861/amendment/original,Provides for an increase in the communication service surcharges in Onondaga county,2009-07-28,County ,VALESKY,Democrat,David Valesky,2009
312,S2623,https://www.nysenate.gov/legislation/bills/2009/s2623/amendment/original,Permits certain small beer brewers to obtain a permit to sell beer in a sealed container for off-premises consumption at fairs and farmers' markets,2009-07-28,Alcoholic Beverage Control ,VALESKY,Democrat,David Valesky,2009
313,S1607,https://www.nysenate.gov/legislation/bills/2009/s1607/amendment/original,Makes the vote of municipal officers on contracts regarding rural electric cooperatives a permissible conflict of interest,2009-07-28,General Municipal ,VALESKY,Democrat,David Valesky,2009
314,S5120,https://www.nysenate.gov/legislation/bills/2009/s5120/amendment/original,"Extends authorization of the county of Madison to impose an additional one percent of sales and compensating use taxes until November 30, 2011",2009-07-28,Tax ,VALESKY,Democrat,David Valesky,2009
315,S2577,https://www.nysenate.gov/legislation/bills/2009/s2577/amendment/original,"Makes permanent chapter 206 of the laws of 1974, relating to industry work practices, procedures and standards applicable to energized high voltage line",2009-07-14,Labor,VALESKY,Democrat,David Valesky,2009
316,S2258,https://www.nysenate.gov/legislation/bills/2009/s2258/amendment/original,Extends for two years provisions of law relating to bus maintenance contracts for the Madison-Oneida board of educational services,2009-05-29,Education,VALESKY,Democrat,David Valesky,2009
317,S4235,https://www.nysenate.gov/legislation/bills/2011/s4235/amendment/original,Directs the office for the prevention of domestic violence to develop senior center based domestic violence prevention programs,2011-08-03,Executive ,VALESKY,Democrat,David Valesky,2011
318,S4923,https://www.nysenate.gov/legislation/bills/2011/s4923/amendment/original,"Extends authorization of the county of Madison to impose an additional one percent of sales and compensating use taxes until November 30, 2013",2011-07-28,Tax ,VALESKY,Democrat,David Valesky,2011
319,S7432,https://www.nysenate.gov/legislation/bills/2013/s7432/amendment/original,Requires an veterinary examination of all cats prior to their sale to determine if the animal has any adverse medical conditions,2014-12-17,Agriculture and Markets,VALESKY,Democrat,David Valesky,2014
320,S7180,https://www.nysenate.gov/legislation/bills/2013/s7180/amendment/original,Relates to encouraging community-based organizations to increase opportunities for seniors to participate in community gardens,2014-12-17,Agriculture and Markets,VALESKY,Democrat,David Valesky,2014
321,S7745,https://www.nysenate.gov/legislation/bills/2013/s7745/amendment/original,Creates Onondaga Lake Amphitheater Infrastructure and Revitalization Project act,2014-09-15,Onondaga County,VALESKY,Democrat,David Valesky,2014
